othr_rel_aust_abor_trad_rel_m, christianity_orintal_orthdx_p, othr_rel_aust_abor_trad_rel_p, christianity_orintal_orthdx_m, islam_m, sb_osb_nra_tot_f, islam_p, christianity_orintal_orthdx_f, islam_f, othr_rel_sikhism_f, othr_rel_aust_abor_trad_rel_f, othr_rel_sikhism_p, othr_rel_sikhism_m, sb_osb_nra_tot_p, sb_osb_nra_tot_m, other_religions_tot_p, other_religions_tot_m, other_religions_tot_f, christianity_uniting_church_f, tot_f, tot_m, tot_p, christianity_christian_nfd_p, christianity_eastrn_orthdox_m, christianity_eastrn_orthdox_p, christianity_salvation_army_p, othr_reln_other_reln_groups_f, christianity_christian_nfd_m, christianity_eastrn_orthdox_f, christianity_salvation_army_m, christianity_salvation_army_f, christianity_christian_nfd_f, christianity_othr_protestnt_p, othr_reln_other_reln_groups_m, christianity_othr_christian_f, othr_reln_other_reln_groups_p, christianity_church_christ_p, christianity_church_christ_m, christianity_othr_protestnt_m, christianity_othr_protestnt_f, christianity_church_christ_f, christianity_lutheran_p, christianity_lattr_day_snts_m, christianity_baptist_p, christianity_lattr_day_snts_f, christianity_baptist_m, christianity_baptist_f, christianity_pentecostal_f, christianity_othr_christian_m, christianity_tot_p, christianity_lattr_day_snts_p, christianity_othr_christian_p, christianity_catholic_f, christianity_lutheran_f, christianity_lutheran_m, christianity_asyrin_apstlic_p, christianity_anglican_f, sb_osb_nra_sb_m, christnty_sevnth_dy_advntst_f, sb_osb_nra_sb_p, sa3_code16, christianity_brethren_f, christianity_brethren_p, christianity_catholic_m, hinduism_m, christianity_catholic_p, hinduism_p, christianity_brethren_m, christianity_tot_m, hinduism_f, christnty_sevnth_dy_advntst_p, christianity_tot_f, christnty_sevnth_dy_advntst_m, sb_osb_nra_sb_f, christianity_anglican_m, christianity_anglican_p, religious_affiliation_ns_f, buddhism_f, christinty_prsbytrin_refrmd_f, christinty_jehvahs_witnses_f, buddhism_m, buddhism_p, christinty_jehvahs_witnses_m, christinty_jehvahs_witnses_p, judaism_f, sb_osb_nra_nr_f, christianity_uniting_church_m, christianity_uniting_church_p, judaism_p, christinty_prsbytrin_refrmd_p, judaism_m, christinty_prsbytrin_refrmd_m, christianity_asyrin_apstlic_f, sb_osb_nra_nr_p, christianity_asyrin_apstlic_m, sb_osb_nra_nr_m, sb_osb_nra_osb_f, christianity_pentecostal_m, religious_affiliation_ns_p, sb_osb_nra_osb_m, christianity_pentecostal_p, religious_affiliation_ns_m, sa3_name16, sb_osb_nra_osb_p
0,448,0,206,1086,9180,2128,240,1042,91,0,193,103,19377,10196,718,340,380,1128,33846,32730,66570,1728,586,1189,57,287,830,602,19,36,902,505,229,32,521,151,64,251,253,85,95,94,1743,105,781,955,406,23,34460,195,49,8096,41,53,18,3448,95,51,155,"12502",142,267,7451,1087,15548,2153,127,16295,1061,85,18170,34,62,2928,6372,2331,1654,1592,50,1304,2961,37,93,35,9081,916,2042,67,3101,35,1508,7,19163,8,10076,33,384,4715,26,786,2388,"Carlingford",61
0,809,6,406,17780,8236,33752,401,15966,410,5,977,571,18259,10023,1733,942,797,1046,75028,76237,151262,3217,2499,4947,152,382,1555,2448,68,89,1656,576,370,123,752,91,36,271,300,51,172,230,1843,246,923,922,807,112,70748,471,238,22709,97,67,228,4455,91,225,165,"12503",15,30,21170,3115,43874,5943,18,34035,2826,398,36709,171,75,3948,8400,6289,4176,814,193,3553,7729,159,353,25,8098,864,1909,40,1560,21,745,104,17971,123,9879,67,694,13060,51,1499,6769,"Merrylands - Guildford",117
0,628,0,315,3837,11372,7230,315,3393,1314,4,3078,1767,24329,12958,4305,2378,1928,1556,70032,70860,140891,2794,1181,2454,184,619,1300,1278,80,102,1496,718,612,63,1227,158,65,357,358,97,166,146,1738,150,816,920,865,68,56684,301,122,15238,91,70,59,5760,168,174,290,"12504",45,97,13731,16872,28966,31652,49,26599,14775,321,30086,147,121,4993,10753,6238,2188,1376,180,1642,3836,123,298,37,11159,1226,2787,82,2542,40,1166,31,23872,29,12715,94,737,12779,71,1602,6539,"Parramatta",159
0,121,0,60,315,7514,587,58,274,80,0,170,93,15687,8176,357,185,168,947,24319,23273,47590,1087,210,414,47,95,494,209,27,21,588,386,92,22,185,77,42,175,211,41,157,40,1455,29,672,785,326,13,23286,65,32,4456,88,69,0,3240,90,62,157,"12601",92,177,4013,1250,8469,2493,78,10826,1242,116,12463,54,64,2761,6000,1515,1103,1274,21,915,2020,10,32,25,7409,719,1668,57,2356,31,1084,0,15467,0,8051,40,303,3098,24,634,1580,"Pennant Hills - Epping",61
4,1776,5,868,1517,19851,2881,909,1367,254,0,524,267,40823,20970,1008,514,493,1528,68967,65567,134528,3084,1699,3437,92,237,1423,1740,37,56,1655,652,247,52,484,101,49,286,366,61,281,65,2287,58,1038,1243,734,44,68396,119,90,18374,154,133,22,6560,184,126,327,"12602",67,123,16671,2508,35048,4717,49,32205,2204,230,36198,102,139,5695,12255,5396,3075,2362,131,2210,5285,81,217,386,19599,1265,2793,680,4448,298,2083,12,40312,7,20713,107,610,10740,74,1339,5344,"Ryde - Hunters Hill",179
0,690,4,343,5223,5338,10286,343,5065,90,4,192,102,11756,6419,1510,741,771,405,51805,51000,102811,3405,2304,4596,77,676,1666,2290,31,47,1735,405,641,38,1312,59,26,198,206,32,118,241,1000,279,502,496,771,40,60065,524,76,18143,68,48,1884,4203,56,161,91,"12701",7,10,17441,1648,35589,3334,5,29192,1688,318,30876,154,34,3675,7878,4274,3793,466,199,3377,7171,157,356,5,5271,363,768,16,862,10,393,978,11610,901,6338,30,676,8666,21,1452,4395,"Bringelly - Green Valley",56
0,1169,5,580,4438,10620,8472,583,4033,66,4,148,85,23675,13062,1793,865,928,602,94386,91412,185802,6855,3803,7595,114,864,3332,3789,47,66,3523,741,778,62,1638,50,18,332,407,31,183,416,2113,461,1017,1092,786,74,98228,880,138,30363,82,104,7449,3625,74,302,127,"12702",3,7,28850,650,59217,1324,7,47701,670,562,50530,261,56,3222,6846,6603,21003,530,372,17946,38945,274,650,8,10507,578,1185,21,1032,14,497,3835,23453,3612,12943,53,670,13346,44,1458,6742,"Fairfield",99
3,1581,3,779,7591,6412,14768,800,7178,350,3,772,423,14268,7861,4932,2479,2456,628,59155,58200,117356,3742,3803,7843,144,2108,1794,4037,72,68,1943,555,2052,128,4159,94,52,254,296,42,171,224,1637,236,789,848,963,109,60280,463,239,15080,90,80,157,5051,89,155,139,"12703",0,8,13971,3572,29057,7259,7,28949,3686,272,31334,119,50,4596,9648,5746,2326,713,170,1962,4285,122,288,13,6319,566,1192,24,1379,9,672,91,14040,70,7720,44,862,11528,51,1826,5783,"Liverpool",88
6,475,9,243,350,12455,703,229,354,48,3,113,63,27189,14733,268,143,124,1948,56362,53481,109841,1988,2581,5251,204,71,923,2676,80,122,1062,418,71,50,138,108,54,195,223,56,260,51,1526,62,713,809,469,38,71452,112,86,16851,145,112,7,12020,148,29,256,"12801",0,3,15029,290,31875,565,3,33290,278,57,38168,28,110,10213,22236,4078,809,1311,103,517,1329,71,174,99,12257,1407,3348,166,2439,75,1126,4,26802,4,14539,81,403,8170,42,871,4091,"Cronulla - Miranda - Caringbah",128
3,380,9,181,404,11995,825,198,419,41,3,86,47,26082,14086,307,138,163,1982,55109,52930,108036,2272,1973,3953,345,123,1078,1980,154,189,1196,435,94,59,215,250,126,202,236,124,297,74,2387,85,1142,1243,544,47,72820,158,106,16694,162,139,0,12204,158,44,284,"12802",81,163,15143,318,31838,646,82,34343,320,78,38481,32,130,10605,22812,3046,626,1376,88,404,1024,51,143,57,11784,1605,3590,109,2581,54,1209,0,25672,0,13894,81,494,6226,37,1040,3179,"Sutherland - Menai - Heathcote",123
15,45,18,19,247,18828,427,22,176,104,9,218,108,38813,19985,547,247,296,4048,53854,49961,103815,1902,192,396,408,180,875,209,173,227,1026,233,124,21,309,967,400,101,131,569,565,57,936,71,436,500,362,24,53201,133,47,13581,315,250,0,6133,179,101,333,"20101",90,191,11758,334,25336,614,102,24072,279,155,29122,60,151,4881,11015,4682,438,1578,157,323,763,114,270,22,18580,3006,7058,44,2879,17,1299,0,38326,0,19744,99,320,9406,57,683,4727,"Ballarat",154
0,6,4,3,23,5302,42,0,15,9,3,15,9,10882,5578,170,82,91,790,14358,13951,28307,486,113,188,62,81,234,76,26,30,254,76,68,17,148,75,37,34,45,44,116,15,213,13,101,108,59,7,13532,24,20,3277,73,49,0,1827,42,43,84,"20102",0,0,3149,26,6419,46,0,6484,23,76,7056,30,46,1554,3382,1674,186,374,25,98,282,24,52,14,5198,686,1476,28,751,23,379,0,10720,0,5521,55,44,3320,26,102,1648,"Creswick - Daylesford - Ballan",79
3,6,5,4,17,4121,27,4,13,8,0,11,9,8841,4721,142,64,78,1039,12481,12887,25365,332,59,96,139,70,158,38,62,86,172,73,51,10,123,131,62,37,38,73,102,6,175,15,78,92,90,13,13265,19,23,2428,55,44,3,2281,34,18,59,"20103",3,5,2248,20,4675,38,3,6307,21,42,6961,19,27,2035,4319,1205,77,460,64,54,130,44,108,8,4078,851,1893,11,967,4,503,0,8746,0,4677,20,86,2897,14,171,1690,"Maryborough - Pyrenees",31
5,78,14,41,237,16692,450,39,214,82,7,189,104,34500,17806,471,210,259,3678,48916,45463,94378,2079,149,289,223,168,967,139,87,133,1117,158,94,16,268,148,64,74,80,88,331,80,1959,93,919,1037,534,14,48365,170,31,11162,175,155,0,6736,149,105,286,"20201",72,142,9649,243,20808,478,74,21935,233,195,26433,92,136,5397,12133,4514,549,1090,141,427,977,116,255,20,16467,2742,6424,40,1987,21,894,0,34087,0,17617,87,422,9101,39,956,4584,"Bendigo",129
0,10,4,7,24,9565,42,3,21,13,4,32,21,19609,10037,237,91,150,1500,23889,23406,47291,907,134,253,82,133,437,117,35,46,470,115,73,22,200,151,74,51,63,76,186,18,725,13,352,375,113,15,20926,28,42,4369,110,76,0,3108,93,16,169,"20202",93,198,4183,49,8552,99,103,9791,52,24,11139,8,79,2550,5663,2693,237,598,34,179,412,26,61,31,9414,1092,2597,48,1124,15,531,0,19305,0,9889,74,97,5912,62,210,3223,"Heathcote - Castlemaine - Kyneton",134
3,0,6,0,3,1550,9,0,4,0,3,0,0,3438,1885,48,15,29,503,5590,5828,11421,236,21,33,27,28,109,18,11,19,134,19,10,7,40,42,20,5,17,25,39,7,230,6,104,121,36,11,6414,19,14,1085,19,19,0,1059,16,10,23,"20203",0,0,1134,7,2220,17,0,3131,7,16,3283,7,7,940,2003,673,34,239,0,43,81,0,4,0,1544,493,993,3,455,0,213,0,3411,0,1872,3,32,1412,3,64,740,"Loddon - Elmore",6
0,0,0,0,25,3337,35,0,14,0,0,6,3,7123,3784,65,32,35,630,9411,9609,19018,506,63,122,38,36,257,64,16,19,249,19,22,3,57,45,17,11,11,26,186,6,322,4,149,172,57,3,10020,9,5,2072,97,97,0,1332,22,32,40,"20301",0,0,1998,9,4065,19,0,4822,7,64,5194,27,18,1142,2476,771,46,418,14,30,76,14,25,0,3298,563,1200,3,812,6,390,0,7060,0,3756,18,72,1669,8,122,901,"Barwon - West",21
10,92,12,48,1393,30126,2476,44,1086,324,7,702,375,62619,32499,1229,622,611,5471,96854,91328,188180,4961,1611,3266,469,284,2248,1654,197,267,2717,497,236,93,518,308,126,212,289,177,1589,116,3630,133,1680,1950,662,69,100023,253,159,25963,900,694,0,10787,349,133,586,"20302",74,160,22641,954,48604,1607,87,45446,655,237,54575,99,238,8414,19206,8615,1150,2951,304,865,2016,235,534,41,29699,3923,9391,85,5425,47,2476,0,61704,0,31998,181,579,18125,150,1239,9513,"Geelong",327
0,3,3,0,44,13606,83,3,41,18,3,30,15,28325,14716,177,70,109,2426,36852,34873,71729,1440,303,567,139,88,659,266,70,74,785,131,52,22,139,110,52,51,77,56,427,15,1275,17,612,662,189,20,36082,35,42,8655,228,192,0,5021,96,19,180,"20303",0,0,7739,69,16388,124,0,16517,59,32,19565,16,78,4019,9046,3147,301,950,106,221,525,83,184,19,13424,1713,4140,37,1777,21,824,0,27998,0,14578,102,153,6369,44,336,3221,"Surf Coast - Bellarine Peninsula",143
0,10,0,6,77,8510,134,0,56,31,0,71,38,18474,9961,260,111,153,1528,26890,26952,53840,921,153,281,153,118,446,133,70,80,482,131,74,20,185,40,22,60,73,20,210,43,491,58,250,244,113,16,28619,101,38,6606,115,94,0,4479,89,65,156,"20401",0,4,6239,49,12842,88,0,13577,39,123,15045,64,65,3855,8337,2825,247,1008,35,157,408,36,65,17,8391,1173,2702,27,1971,16,961,0,18213,0,9822,56,98,5825,48,208,2999,"Upper Goulburn Valley",106
0,7,3,0,53,6695,95,5,46,19,0,38,24,13964,7274,131,56,67,1630,23797,22303,46100,903,75,129,158,48,430,54,63,92,478,268,33,9,89,41,15,128,143,28,299,19,443,41,211,236,160,7,26716,62,19,6118,154,142,0,4018,60,46,114,"20402",40,84,5513,88,11627,148,46,12393,61,72,14324,28,61,3358,7379,2427,173,961,108,119,288,90,200,11,6604,1272,2904,20,1811,7,845,0,13800,0,7194,26,138,4744,24,299,2317,"Wangaratta - Benalla",51
5,19,6,8,103,10871,161,9,57,50,3,124,69,23103,12231,343,153,187,2098,35580,34667,70249,1815,122,256,176,131,834,127,74,98,979,244,77,32,214,103,47,114,132,58,891,38,1065,47,491,576,350,17,38653,85,50,8357,484,406,0,6002,121,73,225,"20403",6,13,7663,203,16013,420,9,18061,213,125,20594,56,103,5217,11217,3350,291,969,215,220,515,153,363,20,10700,1601,3700,25,1866,10,898,0,22774,0,12066,66,311,7027,36,666,3676,"Wodonga - Alpine",108
0,5,3,3,39,8224,80,0,45,31,0,55,29,17210,8985,204,70,127,1383,25004,23621,48626,1492,97,194,220,97,706,96,90,132,788,420,49,15,142,123,56,198,221,69,147,43,650,39,305,342,177,12,25933,79,31,5094,89,63,0,4107,78,76,152,"20501",57,113,4630,52,9724,108,53,11966,52,138,13965,62,75,3402,7506,2398,184,1149,117,117,302,101,218,7,8105,1092,2478,17,2063,7,910,0,16982,0,8877,47,144,4785,28,318,2384,"Baw Baw",80
0,11,8,9,20,7888,41,4,22,9,5,27,19,16683,8795,175,76,102,1364,22974,22174,45146,894,68,130,138,86,426,61,59,78,471,76,54,25,137,36,10,28,44,23,160,14,575,17,274,301,238,17,22579,33,43,4122,85,72,0,4196,68,79,138,"20502",67,130,3604,62,7730,95,63,10450,39,125,12129,50,66,3641,7838,2625,165,787,165,117,287,124,290,13,7777,1061,2416,22,1537,11,753,0,16482,0,8698,40,176,5269,27,418,2642,"Gippsland - East",67
0,26,0,15,29,11569,64,7,40,22,0,46,29,24132,12567,252,111,141,2048,31626,30038,61668,1225,141,283,222,127,550,144,88,132,677,125,75,19,205,59,23,49,78,35,185,30,865,41,383,480,190,17,30033,76,41,5967,93,96,0,5235,108,48,180,"20503",3,9,5299,70,11262,140,5,13757,65,89,16276,46,78,4378,9620,3230,289,953,115,212,506,83,201,16,11414,1524,3570,39,1816,20,865,0,23833,0,12421,76,171,6502,48,362,3270,"Gippsland - South West",119
5,23,10,10,179,12326,323,12,145,22,4,57,36,26140,13811,273,111,159,1434,37398,35700,73099,1576,359,718,263,129,714,356,106,151,867,196,76,31,208,47,18,87,107,32,300,90,675,95,314,363,382,25,37736,189,50,8918,171,133,0,5841,140,70,250,"20504",67,108,7873,140,16796,257,41,17305,120,126,20428,56,111,4849,10697,3879,325,1309,214,254,580,163,377,12,12135,1040,2468,18,2424,6,1118,0,25764,0,13635,82,313,7778,40,701,3892,"Latrobe Valley",124
0,19,0,8,46,6675,91,10,43,27,0,57,33,14289,7610,176,76,96,1326,21238,21631,42871,796,65,133,70,70,374,68,31,45,428,94,43,8,119,27,16,50,41,16,132,32,526,26,240,290,94,16,22662,62,25,4458,72,68,0,4398,64,44,137,"20505",33,56,4061,75,8519,133,28,10617,59,74,12042,32,67,3790,8186,2138,183,624,65,127,310,58,118,9,6568,1067,2394,19,1254,9,627,0,14089,0,7519,40,84,5203,29,183,3069,"Wellington",63
4,123,11,64,2018,18738,3835,61,1815,52,4,124,72,37064,18325,486,224,262,596,44532,41727,86257,1046,3114,6442,54,203,461,3327,30,25,584,162,151,16,353,28,15,75,91,14,150,27,371,21,161,212,163,15,33283,46,33,10744,74,75,56,1604,308,11,571,"20601",0,4,9285,999,20026,1771,3,15358,767,26,17921,9,260,1216,2822,3976,955,260,77,711,1667,64,138,98,18362,373,973,173,497,72,239,29,36310,23,17951,110,125,7982,70,286,4006,"Brunswick - Coburg",184
0,35,4,20,383,12827,730,17,343,41,4,114,70,24827,12003,289,155,135,392,27481,24589,52065,697,2427,5094,46,91,322,2668,12,33,374,111,80,14,174,34,10,53,52,25,118,20,201,16,78,120,58,12,19331,32,26,5433,70,48,3,1115,165,4,338,"20602",0,0,4385,391,9820,705,0,8736,315,9,10598,6,173,837,1957,2590,589,164,34,376,969,13,51,87,12568,298,685,147,298,60,136,0,24363,3,11793,77,50,5073,51,109,2480,"Darebin - South",129
3,335,3,142,1221,10006,2501,194,1277,79,0,187,109,20374,10367,382,205,171,812,34534,32066,66595,1029,1333,2770,32,94,435,1437,16,21,594,173,97,8,190,66,33,77,95,35,184,23,505,20,230,274,171,4,33330,39,15,11721,123,61,18,2003,132,15,226,"20603",0,0,10303,997,22021,1774,0,15354,770,32,17977,14,98,1582,3588,3332,968,378,82,669,1636,46,125,27,9856,599,1407,62,691,38,309,4,20053,15,10194,51,122,6541,36,292,3209,"Essendon",89
4,259,5,120,2725,31084,5296,134,2574,128,3,261,131,61160,30080,744,359,386,961,69825,66144,135969,2556,767,1575,46,258,1082,808,22,23,1474,570,221,34,475,83,40,261,316,45,300,28,914,40,419,496,656,22,33284,68,62,9329,173,123,16,2665,309,39,554,"20604",0,3,8231,3139,17558,5499,5,15289,2355,71,17996,38,246,2189,4851,9829,5354,753,42,4014,9371,25,65,252,30764,762,1724,473,1416,222,667,8,60452,12,29688,70,488,20141,86,1143,10308,"Melbourne City",156
4,108,10,55,549,21433,1065,48,518,62,7,131,74,43446,22017,466,239,233,843,51563,49309,100872,1337,1886,3938,34,168,565,2054,13,21,770,254,161,36,327,43,18,111,146,23,309,21,502,33,233,268,188,37,34513,48,72,9569,182,129,6,3789,264,36,496,"20605",4,7,8132,1130,17699,1973,0,15851,850,47,18655,12,226,3271,7058,6971,1102,593,68,732,1833,49,120,1809,21014,641,1482,3531,1095,1726,502,3,42645,0,21630,194,162,14040,115,349,7071,"Port Phillip",307
3,688,3,332,1216,13250,2363,355,1148,241,3,500,259,27367,14117,1048,523,526,1420,46853,43519,90369,2350,4423,9122,108,288,1083,4702,48,60,1265,663,262,34,545,236,96,310,346,140,326,49,1997,50,893,1111,515,19,46721,104,55,10681,176,148,8,3285,96,35,164,"20702",3,8,9412,759,20090,1513,7,21590,754,58,25128,24,68,2511,5798,3540,2349,880,66,1847,4195,45,111,167,13116,992,2411,317,1608,157,730,4,27095,4,13981,64,460,6851,46,975,3309,"Manningham - West",105
0,76,0,37,364,12477,721,45,360,34,0,90,50,24843,12367,269,138,130,665,32911,29556,62467,787,1182,2553,10,94,304,1371,0,8,482,205,85,16,179,23,13,97,103,13,191,11,266,15,109,157,159,14,23233,32,33,5899,121,69,0,3494,147,7,277,"20606",0,0,4585,666,10487,1223,0,10217,561,17,13015,9,128,2783,6279,4049,903,426,36,633,1540,22,58,1415,12260,504,1167,2689,802,1271,371,0,24435,0,12171,83,99,7945,54,257,3894,"Stonnington - West",136
5,150,9,77,974,21479,2014,75,1039,28,0,60,32,43398,21922,332,177,157,659,45041,42415,87453,1172,1444,3107,61,133,502,1666,19,45,668,188,138,31,263,40,12,75,110,29,228,19,423,16,206,215,181,23,26267,33,56,7749,133,93,0,2390,325,19,583,"20607",3,7,6509,304,14258,579,3,11900,275,32,14370,15,253,2001,4391,5426,2042,354,30,1399,3445,23,58,262,21093,442,1100,496,655,234,301,0,42602,0,21509,130,127,10927,85,308,5504,"Yarra",215
0,285,6,136,1011,30701,1846,156,832,163,6,360,203,62231,31523,892,437,458,3341,87085,80145,167231,2887,3514,7298,164,295,1258,3787,67,94,1630,588,236,54,526,214,85,266,325,132,602,37,2469,58,1105,1363,531,38,76727,89,84,19549,360,246,9,8984,333,52,622,"20701",9,13,16724,2222,36275,4087,3,34780,1870,99,41949,46,291,7248,16236,7381,3141,1461,73,2241,5383,53,131,759,30242,2340,5679,1458,2656,703,1196,7,61335,4,31099,167,417,14606,95,943,7232,"Boroondara",260
3,85,3,35,701,19136,1261,49,558,250,0,550,299,39240,20107,926,483,445,2138,52920,49118,102040,2700,2005,4154,385,192,1188,2146,153,233,1515,599,184,46,377,322,150,253,342,175,501,59,2504,60,1116,1388,483,43,44468,119,84,10087,285,220,0,4420,145,77,297,"20703",7,10,8508,1469,18590,2689,4,19906,1223,146,24559,64,155,3391,7817,4033,2870,1056,58,2344,5223,46,101,96,18881,1510,3651,181,1885,84,830,0,38766,0,19888,99,341,8048,74,821,4020,"Whitehorse - West",179
0,113,0,60,220,17228,441,54,217,42,0,106,67,35154,17924,317,157,157,1885,50862,46229,97087,1240,1814,3799,42,114,536,1986,17,28,704,251,91,37,208,73,31,129,125,47,393,19,559,28,261,298,131,33,48034,45,69,12010,222,167,4,7831,157,25,269,"20801",0,5,10039,291,22053,581,3,21608,288,40,26432,22,108,6101,13931,4477,718,966,51,468,1183,40,84,1340,17002,1370,3260,2607,1834,1267,863,0,34715,0,17715,118,102,8768,58,231,4288,"Bayside",172
8,185,22,86,3169,13555,5914,96,2751,465,11,1076,620,27520,13965,1396,743,651,614,48341,46313,94653,2114,4142,8477,136,174,959,4337,61,82,1148,232,120,27,293,101,34,108,123,62,142,36,540,23,246,295,213,19,43506,59,48,13573,85,54,74,2010,191,37,319,"20902",3,8,11846,1930,25418,3355,3,20144,1428,61,23364,23,128,1445,3462,4751,1804,462,142,1500,3306,87,229,37,13308,414,1024,67,836,36,375,39,27023,31,13711,114,166,9585,71,384,4828,"Darebin - North",183
0,57,3,26,147,12962,274,29,129,33,3,72,40,27065,14100,288,128,155,1172,32886,32237,65123,1468,853,1692,113,123,652,838,44,74,816,193,87,32,214,58,24,105,91,35,289,25,932,21,415,520,182,22,31334,41,48,7981,156,139,0,3715,122,39,222,"20903",196,361,7409,122,15387,221,173,14774,100,62,16560,26,96,3260,6970,2600,350,615,60,219,568,34,97,29,12759,874,2045,62,1189,31,575,0,26683,0,13926,98,138,5309,58,320,2708,"Nillumbik - Kinglake",159
8,1148,16,597,7616,21507,14794,552,7175,2699,10,5902,3200,45234,23727,6584,3507,3074,1745,108009,105705,213708,8270,10064,20405,311,372,4016,10336,126,183,4257,658,303,40,668,140,53,294,361,85,346,203,1615,232,770,842,1240,41,115027,434,87,31498,182,167,137,6653,168,212,309,"20904",30,69,28631,4514,60130,8413,33,54755,3900,353,60270,147,136,5484,12139,8407,3646,1445,304,3079,6725,260,565,28,21234,1388,3137,60,2770,36,1327,67,44701,65,23470,127,1088,16875,92,2331,8470,"Whittlesea - Wallan",224
0,240,0,122,567,5492,1052,125,485,104,0,239,132,11895,6408,346,184,164,852,30038,28526,58565,1091,1961,4026,49,60,511,2059,16,33,574,172,45,7,107,57,25,74,96,31,152,11,449,17,185,265,222,11,38831,28,18,13635,99,57,43,1986,64,26,99,"21001",0,3,12497,359,26134,704,0,18296,342,46,20532,16,34,1624,3609,2226,796,414,73,546,1341,62,127,6,5426,578,1430,20,753,16,340,24,11753,18,6324,25,189,4381,16,404,2153,"Keilor",47
0,3,0,0,30,5112,60,3,27,11,0,16,6,10684,5574,65,30,33,822,14868,14703,29574,531,106,224,34,26,256,120,13,20,277,53,20,3,48,77,37,22,29,40,130,24,204,24,91,111,106,3,15878,44,7,3965,68,60,0,2230,53,25,101,"21002",0,0,4022,11,7989,22,0,7636,8,44,8239,25,48,1892,4122,1331,109,352,29,67,177,24,56,7,5032,635,1461,17,688,11,331,0,10521,0,5487,34,98,2671,25,203,1344,"Macedon Ranges",60
0,233,6,117,526,19651,1040,117,517,150,0,324,181,40771,21125,714,344,374,1863,60527,56283,116817,2260,2713,5631,98,226,1030,2922,34,67,1233,292,161,35,388,230,88,133,159,141,377,88,1011,99,460,544,363,41,59138,189,77,16138,204,170,0,6760,161,63,292,"20803",3,5,14169,853,30307,1636,4,27038,779,100,32103,35,131,5219,11981,5212,1317,1228,149,852,2178,120,272,575,19377,1346,3215,1106,2221,525,990,0,40252,0,20879,141,285,10233,81,651,5025,"Kingston",220
0,54,0,29,180,6927,342,29,160,39,0,92,50,14004,7081,197,107,91,737,21548,19816,41367,525,1182,2468,18,50,240,1284,10,10,291,102,55,11,109,30,10,50,49,21,117,13,273,6,131,138,82,10,19640,20,21,4790,61,54,0,2773,71,15,127,"20804",0,0,4044,647,8841,1212,0,8948,567,18,10693,6,53,2256,5032,1822,558,356,39,382,941,17,56,730,6852,527,1269,1401,678,669,323,0,13831,0,6982,22,52,3624,28,132,1805,"Stonnington - East",51
0,236,4,112,1397,20497,2714,119,1318,155,3,311,159,42851,22356,745,328,416,2025,62644,59222,121865,2477,2575,5283,240,258,1135,2711,117,130,1344,344,168,39,430,159,64,153,193,90,523,66,1424,65,619,805,499,35,61625,127,73,17631,282,237,6,6011,231,46,413,"20901",57,116,15567,879,33201,1654,53,28391,777,78,33233,38,180,4797,10806,5100,1223,1094,94,898,2121,64,154,79,20175,1421,3445,142,2027,61,936,3,42209,0,22035,141,413,10018,82,910,4919,"Banyule",229
3,162,6,91,6583,7502,11997,75,5415,256,3,672,414,15386,7888,849,498,351,602,38103,37406,75506,1151,1876,3931,68,92,516,2052,36,37,631,216,84,16,177,54,28,94,116,26,190,68,396,63,171,218,165,15,35660,122,33,12620,109,77,101,1800,82,16,168,"21003",0,3,11179,1697,23793,3025,0,16530,1330,24,19130,14,81,1356,3159,3408,950,409,119,749,1702,83,200,9,7367,440,1035,27,719,14,311,46,15141,53,7772,52,129,6860,32,296,3451,"Moreland - North",81
0,29,5,17,144,6064,259,15,116,55,3,118,66,12811,6747,219,113,106,857,20156,19212,39369,871,289,571,77,53,392,276,26,50,481,83,45,18,95,79,38,47,43,42,213,67,386,87,188,198,155,4,22263,155,21,6399,117,92,11,2601,57,14,109,"21004",79,143,5788,89,12186,179,66,10323,87,35,11941,16,49,2126,4728,1629,212,428,78,136,345,63,133,11,5983,632,1487,19,769,10,346,5,12653,5,6669,29,128,3273,19,282,1649,"Sunbury",54
10,963,21,477,16334,10242,32257,483,15928,2082,11,4542,2465,21922,11683,5053,2705,2347,1146,80126,80228,160353,4227,2850,5778,190,256,2065,2925,82,108,2165,610,233,43,492,122,51,299,307,68,187,346,735,395,339,392,684,36,77331,738,78,25388,100,84,2055,3606,97,145,172,"21005",6,11,24248,2834,49633,5379,5,37376,2538,268,39957,120,80,2878,6488,6726,2369,733,236,2140,4513,229,468,17,10096,924,2078,32,1404,18,675,1034,21627,1017,11533,67,642,13864,57,1323,7139,"Tullamarine - Broadmeadows",120
3,714,3,360,852,24877,1724,355,875,392,0,824,431,52395,27513,1553,764,785,2795,78814,75341,154154,5293,1885,3767,401,389,2415,1881,180,224,2880,910,335,195,727,497,217,421,488,279,861,255,3644,276,1659,1982,1483,180,76835,533,376,17624,492,374,9,8028,218,218,403,"21101",97,197,15573,2041,33204,3991,105,35505,1952,421,41332,202,178,6489,14514,5727,3172,1844,185,2691,5864,146,334,97,24567,2114,4909,176,3436,78,1595,4,51758,3,27193,135,1335,11623,101,2821,5896,"Knox",232
