othr_rel_aust_abor_trad_rel_m, christianity_orintal_orthdx_p, othr_rel_aust_abor_trad_rel_p, christianity_orintal_orthdx_m, islam_m, sb_osb_nra_tot_f, islam_p, christianity_orintal_orthdx_f, islam_f, othr_rel_sikhism_f, othr_rel_aust_abor_trad_rel_f, othr_rel_sikhism_p, othr_rel_sikhism_m, sb_osb_nra_tot_p, sb_osb_nra_tot_m, other_religions_tot_p, other_religions_tot_m, other_religions_tot_f, christianity_uniting_church_f, tot_f, tot_m, tot_p, christianity_christian_nfd_p, christianity_eastrn_orthdox_m, christianity_eastrn_orthdox_p, christianity_salvation_army_p, othr_reln_other_reln_groups_f, christianity_christian_nfd_m, christianity_eastrn_orthdox_f, christianity_salvation_army_m, christianity_salvation_army_f, christianity_christian_nfd_f, christianity_othr_protestnt_p, othr_reln_other_reln_groups_m, christianity_othr_christian_f, othr_reln_other_reln_groups_p, christianity_church_christ_p, christianity_church_christ_m, christianity_othr_protestnt_m, christianity_othr_protestnt_f, christianity_church_christ_f, christianity_lutheran_p, christianity_lattr_day_snts_m, christianity_baptist_p, christianity_lattr_day_snts_f, christianity_baptist_m, christianity_baptist_f, christianity_pentecostal_f, christianity_othr_christian_m, christianity_tot_p, christianity_lattr_day_snts_p, christianity_othr_christian_p, christianity_catholic_f, christianity_lutheran_f, christianity_lutheran_m, christianity_asyrin_apstlic_p, christianity_anglican_f, sb_osb_nra_sb_m, christnty_sevnth_dy_advntst_f, sb_osb_nra_sb_p, sa3_code16, christianity_brethren_f, christianity_brethren_p, christianity_catholic_m, hinduism_m, christianity_catholic_p, hinduism_p, christianity_brethren_m, christianity_tot_m, hinduism_f, christnty_sevnth_dy_advntst_p, christianity_tot_f, christnty_sevnth_dy_advntst_m, sb_osb_nra_sb_f, christianity_anglican_m, christianity_anglican_p, religious_affiliation_ns_f, buddhism_f, christinty_prsbytrin_refrmd_f, christinty_jehvahs_witnses_f, buddhism_m, buddhism_p, christinty_jehvahs_witnses_m, christinty_jehvahs_witnses_p, judaism_f, sb_osb_nra_nr_f, christianity_uniting_church_m, christianity_uniting_church_p, judaism_p, christinty_prsbytrin_refrmd_p, judaism_m, christinty_prsbytrin_refrmd_m, christianity_asyrin_apstlic_f, sb_osb_nra_nr_p, christianity_asyrin_apstlic_m, sb_osb_nra_nr_m, sb_osb_nra_osb_f, christianity_pentecostal_m, religious_affiliation_ns_p, sb_osb_nra_osb_m, christianity_pentecostal_p, religious_affiliation_ns_m, sa3_name16, sb_osb_nra_osb_p
21,58,33,32,325,10877,667,32,346,15,15,30,12,23599,12730,266,100,163,1967,45907,43931,89837,2441,1295,2574,218,127,1176,1282,100,118,1265,203,69,37,201,84,37,93,110,48,454,50,812,65,375,440,428,21,57397,117,56,12786,260,195,0,10089,123,52,223,"10703",6,10,11575,88,24365,177,0,26860,87,92,30537,38,97,8671,18760,3473,416,1251,300,284,700,243,549,14,10680,1540,3508,26,2312,18,1057,0,23237,0,12556,92,367,7006,53,788,3530,"Kiama - Shellharbour",145
9,146,24,74,1513,18177,2813,70,1302,27,12,76,43,39627,21458,480,218,266,2502,64742,63552,128301,3182,2316,4654,348,223,1531,2339,162,190,1652,389,166,59,388,134,64,168,220,66,431,87,1224,95,599,621,780,38,71891,181,96,16704,244,189,13,10705,273,87,480,"10704",91,184,14777,619,31479,1050,98,33458,436,144,38431,62,204,9089,19792,5020,1075,1715,276,819,1892,198,472,46,17806,1992,4494,96,3168,51,1454,6,38884,7,21081,163,577,10440,101,1357,5421,"Wollongong",263
8,8,17,6,19,3580,26,0,10,9,3,15,8,7807,4232,76,36,42,905,16017,15252,31272,503,40,78,99,29,213,38,49,52,286,201,24,10,53,51,20,90,116,33,73,32,508,39,218,286,85,7,20113,72,15,3430,41,31,3,4724,43,33,77,"10801",0,0,3125,21,6546,37,0,9354,18,62,10759,31,33,4178,8911,1473,136,577,109,79,216,76,181,6,3512,665,1563,14,1087,5,512,0,7680,3,4170,35,62,2976,20,144,1511,"Great Lakes",55
15,0,46,0,26,6201,46,0,21,3,28,15,13,13199,6997,208,84,125,1347,24242,23882,48127,851,44,86,358,92,420,44,159,203,430,117,54,11,142,22,14,50,65,11,85,30,355,39,170,182,242,10,28361,67,26,5222,45,39,0,5579,53,393,91,"10802",0,0,4863,32,10088,66,0,13394,30,695,14968,299,39,4988,10570,2655,234,921,238,163,391,179,413,6,6095,1129,2475,21,1735,12,813,0,13012,0,6917,66,184,5828,31,428,3172,"Kempsey - Nambucca",95
0,0,0,0,0,60,0,0,0,0,0,0,0,137,78,0,0,0,9,191,192,382,7,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,23,0,0,0,41,0,20,3,"10803",0,0,21,0,38,0,0,84,0,41,102,21,3,38,76,27,0,7,0,3,3,0,0,0,62,0,8,0,6,0,5,0,136,0,78,0,0,51,0,0,21,"Lord Howe Island",0
19,25,27,17,43,9588,77,13,34,16,14,33,13,20484,10894,242,106,142,2109,40861,37704,78567,2035,92,210,337,111,907,110,140,198,1133,303,70,27,186,60,23,147,153,35,231,61,913,52,423,491,445,18,50036,112,47,9812,127,101,5,10502,92,285,178,"10804",3,3,8296,109,18106,205,0,22829,99,525,27211,239,90,8826,19327,3422,331,1520,198,213,544,155,344,32,9386,1656,3763,56,2863,32,1341,0,20130,3,10740,116,385,6919,60,832,3490,"Port Macquarie",171
3,25,10,10,50,6351,80,10,33,8,4,16,12,13413,7057,162,69,92,1638,27598,26263,53856,1324,64,115,367,81,603,56,149,215,720,157,52,19,136,101,50,72,89,54,87,60,1287,80,618,674,214,16,34696,137,28,5063,52,42,0,8012,62,116,115,"10805",6,14,4537,52,9600,99,10,16366,44,205,18329,94,54,7290,15303,2485,244,1132,189,176,414,157,347,16,6253,1364,3001,24,2202,6,1076,0,13216,0,6959,46,168,4968,39,383,2483,"Taree - Gloucester",82
12,19,23,8,141,7682,251,9,112,117,11,244,131,16486,8804,424,212,215,1643,31508,29757,61271,1346,160,336,156,83,620,171,65,89,720,125,71,22,159,40,12,60,68,25,2006,29,635,37,289,349,418,16,37117,67,35,8062,1072,932,0,5828,93,118,173,"10901",64,116,7230,428,15294,847,49,17074,417,226,20048,115,78,4809,10640,2696,329,1238,117,227,549,80,197,17,7573,1139,2774,27,2329,11,1097,0,16261,0,8688,38,357,5562,24,777,2864,"Albury",58
29,4,57,4,16,1486,25,0,9,5,29,12,6,3376,1886,78,39,39,360,6110,6438,12547,215,27,38,24,9,104,14,16,13,112,19,5,0,12,23,10,6,13,16,107,3,69,3,37,27,37,0,7316,7,4,1661,62,40,0,1097,7,29,11,"10902",0,0,1638,20,3299,31,0,3577,12,56,3739,31,9,1071,2169,795,32,271,16,18,48,8,23,0,1476,285,646,0,544,0,272,0,3358,0,1879,5,29,1675,4,63,882,"Lower Murray",7
30,4,57,3,33,4810,54,4,21,13,27,30,13,10650,5844,147,70,80,1809,21120,20862,41980,604,44,91,77,33,308,43,31,50,296,69,28,9,61,43,18,31,40,26,229,46,449,68,229,219,88,5,26378,116,16,5519,128,104,0,4319,28,8,58,"10903",0,3,5198,57,10717,99,0,12552,41,18,13827,6,27,3711,8030,2235,90,1142,61,76,163,44,100,10,4763,1508,3317,10,2314,3,1174,0,10556,0,5793,19,85,4475,18,167,2239,"Upper Murray exc. Albury",40
