sa2_name16, median_tot_hhd_inc_weekly, median_age_persons, median_mortgage_repay_monthly, median_rent_weekly, average_num_psns_per_bedroom, sa2_main16, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
"Chapman",2687,45,2500,450,0.7,"801081091",3192,2.8,1184
"Duffy",2115,39,2205,389,0.7,"801081092",2573,2.7,1047
"Fisher",1921,39,2167,345,0.7,"801081093",2548,2.5,967
"Curtin",2250,41,2270,400,0.8,"801091100",2867,2.6,1064
"Farrer",2259,43,2346,380,0.8,"801091101",2619,2.7,1015
"Garran",2292,44,2318,475,0.8,"801091102",2925,2.6,1074
"Isaacs",2234,47,2120,456,0.7,"801091104",2603,2.5,1041
"Lyons (ACT)",1496,37,2000,315,0.9,"801091105",2052,2.2,839
"Mawson",1773,38,2068,320,0.9,"801091106",2369,2.4,944
"O'Malley",3511,46,2600,941,0.7,"801091107",3819,3.1,1320
"Pearce",2042,41,2157,368,0.8,"801091108",2683,2.4,1044
"Phillip",1769,33,1750,360,1.1,"801091109",2165,1.9,1159
"Arboretum",0,39,0,0,0.0,"801101134",0,0.0,0
"Coombs",2320,30,2167,415,0.8,"801101135",2629,2.7,1259
"Denman Prospect",0,0,0,0,0.0,"801101136",0,0.0,0
"Molonglo",0,0,0,0,0.0,"801101137",0,0.0,0
"Molonglo - North",0,19,0,0,0.0,"801101138",0,0.0,350
"Wright",2308,30,1950,400,0.9,"801101139",2780,2.3,1359
"ACT - South West",2714,35,2600,326,0.9,"801111140",2905,3.2,1081
"Namadgi",1937,36,0,130,0.7,"801111141",2374,2.0,1208
"Christmas Island",2084,39,1700,134,1.0,"901011001",2389,2.7,1216
"Cocos (Keeling) Islands",1921,44,1029,185,1.0,"901021002",1375,3.7,614
"Jervis Bay",1483,31,0,85,0.9,"901031003",1424,3.2,960
